OBJECTID,CODIGO,NOMBRE,IDENTIFICACION,LIMITEMUNICIPIOID,SUBTIPO_COMUNACORREGIMIENTO,SHAPE__Area,SHAPE__Length
344,01,Popular,Comuna 1,001,1,3155107.41894531,9690.72847995771
345,02,Santa Cruz,Comuna 2,001,1,2236184.48535156,8678.18933695557
346,03,Manrique,Comuna 3,001,1,5189810.51416016,12190.506230138
347,04,Aranjuez,Comuna 4,001,1,4972963.38818359,9740.21714813016
348,05,Castilla,Comuna 5,001,1,6175548.94042969,16258.2242879977
349,06,Doce de Octubre,Comuna 6,001,1,3920724.91113281,10810.3208709449
350,07,Robledo,Comuna 7,001,1,9635315.99853516,23465.6289472722
351,08,Villa Hermosa,Comuna 8,001,1,5821444.03955078,16534.701180457
352,09,Buenos Aires,Comuna 9,001,1,6162825.10498047,18527.969634401
353,10,La Candelaria,Comuna 10,001,1,7495058.51220703,13762.5798482704
354,11,Laureles Estadio,Comuna 11,001,1,7537481.9296875,16507.0080638432
355,12,La América,Comuna 12,001,1,4045639.06005859,15567.1913618768
356,13,San Javier,Comuna 13,001,1,4937500.95556641,26618.4096537109
357,14,El Poblado,Comuna 14,001,1,14674678.5175781,20158.7397898732
358,16,Belén,Comuna 16,001,1,9016556.45458984,25912.0100206395
359,50,Corregimiento de San Sebastián de Palmitas,Corregimiento 50,001,2,58859873.9707031,38776.3745078096
360,60,Corregimiento de San Cristóbal,Corregimiento 60,001,2,55102392.6445313,51620.6294327324
361,70,Corregimiento de Altavista,Corregimiento 70,001,2,29244339.3144531,35309.6180908194
362,90,Corregimiento de Santa Elena,Corregimiento 90,001,2,75468221.6674805,67129.1716680679
363,SN02,,,,2,75624.1416015625,3933.31074010778
364,80,Corregimiento de San Antonio de Prado,Corregimiento 80,001,2,61654761.4663086,40857.930287078
365,SN01,,,,1,447160.685058594,10114.4764324377
366,15,Guayabal,Comuna 15,001,1,7420175.59326172,13413.2435068587
